FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
1695591,American Airlines,8474,DFW,SFO,2024-09-01 18:56,2024-09-01 19:02,2024-09-01 21:56,2024-09-01 22:00,4,Maintenance,False,True,Airbus A320,N32045,1711
1695592,Southwest,2306,LAX,SFO,2024-09-01 12:01,2024-09-01 12:02,2024-09-01 16:01,2024-09-01 15:54,-7,,False,True,Boeing 737,N51844,1745
1695593,Delta,8422,ORD,BOS,2024-09-01 18:33,2024-09-01 18:55,2024-09-01 23:33,2024-09-01 23:41,8,Air Traffic Control,False,True,Boeing 777,N18731,1781
1695594,Southwest,7685,ATL,BOS,2024-09-01 21:16,2024-09-01 21:35,2024-09-02 03:16,2024-09-02 03:14,-2,,True,False,Airbus A320,N79671,963
1695595,Southwest,8866,ATL,SEA,2024-09-01 19:22,2024-09-01 19:33,2024-09-01 23:22,2024-09-01 23:48,26,Maintenance,True,True,Boeing 777,N76020,1985
1695596,Delta,1994,JFK,JFK,2024-09-01 07:54,2024-09-01 08:06,2024-09-01 13:54,2024-09-01 14:06,12,Weather,True,False,Boeing 737,N69708,1032
1695597,American Airlines,1463,DFW,SEA,2024-09-01 21:37,2024-09-01 21:59,2024-09-01 22:37,2024-09-01 22:33,-4,,True,True,Boeing 737,N75462,2454
1695598,American Airlines,8095,JFK,BOS,2024-09-01 15:35,2024-09-01 15:37,2024-09-01 18:35,2024-09-01 18:56,21,Maintenance,True,False,Airbus A320,N55434,2041
1695599,Southwest,4774,ORD,MIA,2024-09-01 10:39,2024-09-01 10:41,2024-09-01 12:39,2024-09-01 13:02,23,Maintenance,False,True,Boeing 737,N77953,2039
1695600,Southwest,8007,DFW,SFO,2024-09-01 00:24,2024-09-01 00:50,2024-09-01 04:24,2024-09-01 04:15,-9,,False,True,Airbus A320,N98014,1055
1695601,Southwest,1108,ORD,SEA,2024-09-01 22:40,2024-09-01 22:43,2024-09-02 02:40,2024-09-02 02:52,12,Maintenance,False,True,Boeing 777,N96006,894
1695602,American Airlines,8800,ATL,SFO,2024-09-01 02:19,2024-09-01 02:39,2024-09-01 04:19,2024-09-01 04:27,8,Air Traffic Control,False,False,Boeing 737,N52216,2990
1695603,Southwest,3350,JFK,JFK,2024-09-01 04:27,2024-09-01 04:41,2024-09-01 07:27,2024-09-01 07:48,21,Maintenance,False,False,Boeing 777,N70335,1708
1695604,Delta,3064,JFK,JFK,2024-09-01 05:00,2024-09-01 05:29,2024-09-01 08:00,2024-09-01 08:10,10,Air Traffic Control,False,False,Airbus A320,N69533,2882
1695605,United,3853,JFK,SFO,2024-09-01 08:26,2024-09-01 08:47,2024-09-01 11:26,2024-09-01 11:19,-7,,True,True,Airbus A320,N95338,385
1695606,Delta,7879,ORD,JFK,2024-09-01 15:54,2024-09-01 16:19,2024-09-01 17:54,2024-09-01 18:16,22,Maintenance,True,True,Boeing 777,N57019,411
1695607,United,0493,ORD,BOS,2024-09-01 08:30,2024-09-01 08:40,2024-09-01 13:30,2024-09-01 14:00,30,Air Traffic Control,False,False,Boeing 737,N61705,1299
1695608,Southwest,4961,DFW,BOS,2024-09-01 18:26,2024-09-01 18:46,2024-09-01 20:26,2024-09-01 20:23,-3,,False,False,Boeing 737,N56927,2028
1695609,Delta,1623,JFK,SFO,2024-09-01 15:04,2024-09-01 15:12,2024-09-01 18:04,2024-09-01 17:59,-5,,True,False,Airbus A320,N25673,977
1695610,Southwest,4568,JFK,SFO,2024-09-01 18:36,2024-09-01 18:53,2024-09-01 21:36,2024-09-01 22:04,28,Weather,True,True,Boeing 737,N86325,1528
1695611,American Airlines,5952,JFK,SEA,2024-09-01 23:39,2024-09-01 23:49,2024-09-02 04:39,2024-09-02 04:36,-3,,True,True,Boeing 737,N44784,360
1695612,United,6941,ORD,SEA,2024-09-01 18:02,2024-09-01 18:30,2024-09-01 21:02,2024-09-01 21:28,26,Air Traffic Control,True,False,Airbus A320,N29343,1791
1695613,Southwest,8538,ATL,SFO,2024-09-01 07:35,2024-09-01 07:53,2024-09-01 11:35,2024-09-01 11:29,-6,,True,False,Boeing 737,N78870,2944
1695614,Delta,4326,ATL,SFO,2024-09-01 04:04,2024-09-01 04:04,2024-09-01 05:04,2024-09-01 05:25,21,Air Traffic Control,False,True,Airbus A320,N14452,262
1695615,United,7597,LAX,BOS,2024-09-01 04:41,2024-09-01 04:43,2024-09-01 07:41,2024-09-01 07:45,4,Maintenance,False,True,Boeing 737,N48695,911
1695616,Southwest,2172,ATL,BOS,2024-09-01 12:56,2024-09-01 13:15,2024-09-01 15:56,2024-09-01 16:14,18,Air Traffic Control,False,True,Boeing 737,N93728,2374
1695617,Southwest,7152,LAX,SFO,2024-09-01 04:27,2024-09-01 04:56,2024-09-01 10:27,2024-09-01 10:43,16,Air Traffic Control,True,False,Boeing 737,N12636,2052
1695618,United,3607,ORD,BOS,2024-09-01 02:45,2024-09-01 03:12,2024-09-01 04:45,2024-09-01 04:55,10,Air Traffic Control,True,False,Boeing 737,N16398,2271
1695619,American Airlines,5747,JFK,BOS,2024-09-01 12:52,2024-09-01 13:08,2024-09-01 16:52,2024-09-01 17:00,8,Maintenance,True,True,Boeing 737,N96860,1288
1695620,Southwest,2601,ATL,SFO,2024-09-01 20:22,2024-09-01 20:29,2024-09-01 23:22,2024-09-01 23:40,18,Maintenance,False,False,Boeing 737,N82611,2243
1695621,American Airlines,8302,DFW,BOS,2024-09-01 01:51,2024-09-01 02:20,2024-09-01 05:51,2024-09-01 06:13,22,Air Traffic Control,False,True,Boeing 737,N86305,892
1695622,United,3270,LAX,SFO,2024-09-01 04:44,2024-09-01 04:51,2024-09-01 05:44,2024-09-01 05:39,-5,,True,True,Airbus A320,N16057,1259
1695623,Southwest,9791,ATL,SEA,2024-09-01 04:55,2024-09-01 05:10,2024-09-01 08:55,2024-09-01 08:45,-10,,True,True,Airbus A320,N90858,2254
1695624,Southwest,7572,LAX,SFO,2024-09-01 14:30,2024-09-01 14:42,2024-09-01 20:30,2024-09-01 20:31,1,Weather,False,True,Boeing 777,N76860,2681
1695625,United,0009,JFK,MIA,2024-09-01 06:47,2024-09-01 07:04,2024-09-01 08:47,2024-09-01 09:10,23,Air Traffic Control,True,True,Boeing 777,N98087,2239
1695626,Delta,1276,DFW,MIA,2024-09-01 21:10,2024-09-01 21:21,2024-09-02 01:10,2024-09-02 01:35,25,Weather,False,True,Boeing 777,N77693,1191
1695627,Southwest,7789,ATL,BOS,2024-09-01 14:32,2024-09-01 14:56,2024-09-01 18:32,2024-09-01 18:37,5,Air Traffic Control,True,False,Boeing 777,N81591,2950
1695628,United,2459,ATL,BOS,2024-09-01 21:05,2024-09-01 21:22,2024-09-01 23:05,2024-09-01 23:01,-4,,False,True,Airbus A320,N34919,2733
1695629,American Airlines,5718,JFK,SFO,2024-09-01 21:44,2024-09-01 21:48,2024-09-02 00:44,2024-09-02 01:13,29,Maintenance,True,True,Airbus A320,N77667,2093
1695630,Southwest,4652,LAX,MIA,2024-09-01 03:03,2024-09-01 03:19,2024-09-01 06:03,2024-09-01 05:59,-4,,True,False,Boeing 777,N40978,1501
1695631,Southwest,1084,DFW,BOS,2024-09-01 06:38,2024-09-01 07:05,2024-09-01 12:38,2024-09-01 12:45,7,Air Traffic Control,False,True,Airbus A320,N97888,183
1695632,United,3834,DFW,SEA,2024-09-01 09:44,2024-09-01 09:57,2024-09-01 15:44,2024-09-01 15:36,-8,,False,False,Airbus A320,N80968,1989
1695633,United,8485,DFW,JFK,2024-09-01 21:16,2024-09-01 21:28,2024-09-01 23:16,2024-09-01 23:22,6,Air Traffic Control,True,False,Boeing 737,N41792,1624
1695634,Delta,9067,ATL,BOS,2024-09-01 05:20,2024-09-01 05:48,2024-09-01 08:20,2024-09-01 08:33,13,Maintenance,True,False,Airbus A320,N22611,2661
1695635,United,3411,ORD,MIA,2024-09-01 23:14,2024-09-01 23:44,2024-09-02 03:14,2024-09-02 03:26,12,Maintenance,True,False,Boeing 777,N43726,2301
1695636,American Airlines,2102,LAX,JFK,2024-09-01 20:19,2024-09-01 20:48,2024-09-01 21:19,2024-09-01 21:20,1,Weather,True,False,Airbus A320,N54587,2794
1695637,Southwest,7088,LAX,SFO,2024-09-01 12:47,2024-09-01 12:58,2024-09-01 17:47,2024-09-01 17:46,-1,,True,False,Boeing 737,N13197,1600
1695638,United,4900,JFK,MIA,2024-09-01 20:52,2024-09-01 21:09,2024-09-01 22:52,2024-09-01 23:09,17,Weather,False,False,Boeing 777,N65875,2358
1695639,American Airlines,5857,ATL,JFK,2024-09-01 06:47,2024-09-01 07:07,2024-09-01 08:47,2024-09-01 09:04,17,Weather,False,True,Airbus A320,N60405,2709
1695640,Delta,1526,JFK,SEA,2024-09-01 16:40,2024-09-01 16:58,2024-09-01 20:40,2024-09-01 20:55,15,Air Traffic Control,True,False,Boeing 777,N55897,1151
1695641,Southwest,2680,JFK,BOS,2024-09-01 18:37,2024-09-01 19:03,2024-09-01 19:37,2024-09-01 20:07,30,Maintenance,False,True,Boeing 737,N49187,1440
1695642,Delta,6435,ATL,SFO,2024-09-01 04:40,2024-09-01 04:44,2024-09-01 08:40,2024-09-01 09:00,20,Weather,False,True,Airbus A320,N80262,349
1695643,American Airlines,4989,JFK,SEA,2024-09-01 04:51,2024-09-01 05:12,2024-09-01 09:51,2024-09-01 10:15,24,Maintenance,True,False,Boeing 737,N33954,2655
1695644,United,2759,LAX,MIA,2024-09-01 12:19,2024-09-01 12:25,2024-09-01 17:19,2024-09-01 17:43,24,Air Traffic Control,True,True,Boeing 777,N39467,1145
1695645,American Airlines,3390,DFW,BOS,2024-09-01 08:23,2024-09-01 08:38,2024-09-01 12:23,2024-09-01 12:53,30,Maintenance,True,True,Boeing 777,N11477,503
1695646,Southwest,5983,JFK,JFK,2024-09-01 03:18,2024-09-01 03:42,2024-09-01 06:18,2024-09-01 06:21,3,Maintenance,False,False,Boeing 777,N82749,2695
1695647,Southwest,6313,ATL,SFO,2024-09-01 18:29,2024-09-01 18:45,2024-09-01 23:29,2024-09-01 23:23,-6,,True,True,Boeing 737,N99692,2851
1695648,Delta,2501,ORD,MIA,2024-09-01 03:16,2024-09-01 03:43,2024-09-01 08:16,2024-09-01 08:16,0,,True,False,Airbus A320,N43817,1060
1695649,Southwest,9225,LAX,SFO,2024-09-01 13:54,2024-09-01 13:56,2024-09-01 19:54,2024-09-01 19:50,-4,,True,False,Boeing 737,N11470,1563
1695650,Southwest,7098,DFW,SFO,2024-09-01 15:45,2024-09-01 15:45,2024-09-01 21:45,2024-09-01 21:54,9,Maintenance,False,True,Airbus A320,N63736,370
1695651,United,5388,JFK,JFK,2024-09-01 19:23,2024-09-01 19:44,2024-09-01 21:23,2024-09-01 21:15,-8,,False,False,Boeing 777,N86462,2654
1695652,American Airlines,7544,LAX,SEA,2024-09-01 06:36,2024-09-01 06:48,2024-09-01 11:36,2024-09-01 11:46,10,Air Traffic Control,False,True,Boeing 777,N74804,899
1695653,United,1703,DFW,MIA,2024-09-01 04:40,2024-09-01 04:59,2024-09-01 07:40,2024-09-01 08:04,24,Air Traffic Control,True,True,Boeing 777,N95184,2912
1695654,Delta,9438,DFW,SEA,2024-09-01 18:42,2024-09-01 19:05,2024-09-01 21:42,2024-09-01 21:40,-2,,True,False,Airbus A320,N97407,2189
1695655,Southwest,1925,ATL,SEA,2024-09-01 14:14,2024-09-01 14:20,2024-09-01 18:14,2024-09-01 18:34,20,Weather,True,False,Boeing 737,N17759,2965
1695656,Southwest,4660,ATL,SFO,2024-09-01 03:18,2024-09-01 03:43,2024-09-01 04:18,2024-09-01 04:29,11,Weather,True,False,Airbus A320,N11289,377
1695657,Delta,2922,JFK,SFO,2024-09-01 03:49,2024-09-01 03:54,2024-09-01 04:49,2024-09-01 05:15,26,Air Traffic Control,True,False,Airbus A320,N62964,2752
1695658,United,1040,LAX,JFK,2024-09-01 08:12,2024-09-01 08:23,2024-09-01 14:12,2024-09-01 14:12,0,,True,True,Boeing 777,N48242,2158
1695659,United,5350,DFW,MIA,2024-09-01 19:30,2024-09-01 19:39,2024-09-01 23:30,2024-09-01 23:51,21,Air Traffic Control,True,True,Airbus A320,N31619,2890
1695660,Southwest,6738,LAX,JFK,2024-09-01 20:23,2024-09-01 20:39,2024-09-01 23:23,2024-09-01 23:31,8,Weather,False,True,Airbus A320,N40952,1727
1695661,American Airlines,6284,ATL,BOS,2024-09-01 17:15,2024-09-01 17:18,2024-09-01 19:15,2024-09-01 19:23,8,Air Traffic Control,False,False,Airbus A320,N41163,2226
1695662,Delta,2757,DFW,BOS,2024-09-01 07:01,2024-09-01 07:15,2024-09-01 08:01,2024-09-01 07:55,-6,,False,True,Airbus A320,N16971,1069
1695663,American Airlines,6783,ORD,MIA,2024-09-01 16:34,2024-09-01 16:57,2024-09-01 18:34,2024-09-01 18:26,-8,,True,True,Boeing 777,N11914,2972
1695664,United,7403,ORD,SFO,2024-09-01 06:07,2024-09-01 06:25,2024-09-01 11:07,2024-09-01 11:22,15,Maintenance,True,True,Boeing 737,N24593,536
1695665,American Airlines,9326,JFK,MIA,2024-09-01 07:30,2024-09-01 07:33,2024-09-01 08:30,2024-09-01 08:32,2,Air Traffic Control,True,False,Boeing 737,N89693,1575
1695666,Delta,2280,ORD,SEA,2024-09-01 03:32,2024-09-01 03:59,2024-09-01 07:32,2024-09-01 07:43,11,Air Traffic Control,True,False,Boeing 777,N75101,2999
1695667,United,9805,ORD,JFK,2024-09-01 00:01,2024-09-01 00:08,2024-09-01 04:01,2024-09-01 04:18,17,Maintenance,True,True,Boeing 777,N36276,2976
1695668,American Airlines,4709,LAX,SFO,2024-09-01 16:02,2024-09-01 16:18,2024-09-01 22:02,2024-09-01 22:23,21,Air Traffic Control,False,True,Airbus A320,N11669,2876
1695669,American Airlines,8191,JFK,MIA,2024-09-01 20:31,2024-09-01 20:32,2024-09-02 01:31,2024-09-02 01:50,19,Air Traffic Control,False,False,Boeing 777,N87111,1719
1695670,Southwest,4403,ATL,JFK,2024-09-01 13:12,2024-09-01 13:32,2024-09-01 14:12,2024-09-01 14:31,19,Maintenance,False,True,Boeing 777,N66873,1767
1695671,Delta,0266,ATL,BOS,2024-09-01 08:17,2024-09-01 08:38,2024-09-01 10:17,2024-09-01 10:18,1,Air Traffic Control,True,False,Boeing 737,N52665,2449
1695672,Delta,3237,DFW,JFK,2024-09-01 11:25,2024-09-01 11:42,2024-09-01 12:25,2024-09-01 12:32,7,Weather,True,True,Airbus A320,N99091,202
1695673,Southwest,5713,ATL,BOS,2024-09-01 10:11,2024-09-01 10:24,2024-09-01 15:11,2024-09-01 15:19,8,Maintenance,False,True,Boeing 777,N40853,595
1695674,United,7669,DFW,SEA,2024-09-01 22:34,2024-09-01 22:59,2024-09-02 04:34,2024-09-02 04:24,-10,,True,False,Airbus A320,N91774,355
1695675,Southwest,6450,JFK,SEA,2024-09-01 07:22,2024-09-01 07:33,2024-09-01 10:22,2024-09-01 10:52,30,Weather,True,True,Airbus A320,N13894,251
1695676,American Airlines,2943,ATL,SEA,2024-09-01 20:27,2024-09-01 20:27,2024-09-01 21:27,2024-09-01 21:25,-2,,False,False,Airbus A320,N72064,438
1695677,Southwest,2362,ATL,SEA,2024-09-01 01:26,2024-09-01 01:49,2024-09-01 05:26,2024-09-01 05:56,30,Weather,False,False,Airbus A320,N21901,2050
1695678,Delta,9147,ORD,BOS,2024-09-01 17:23,2024-09-01 17:35,2024-09-01 21:23,2024-09-01 21:47,24,Maintenance,True,True,Boeing 777,N73064,2783
1695679,Delta,4505,DFW,JFK,2024-09-01 23:46,2024-09-02 00:11,2024-09-02 05:46,2024-09-02 06:00,14,Maintenance,False,False,Boeing 777,N79895,847
1695680,Delta,9213,ATL,JFK,2024-09-01 14:05,2024-09-01 14:23,2024-09-01 20:05,2024-09-01 20:21,16,Maintenance,True,False,Boeing 737,N82197,821
1695681,American Airlines,3648,JFK,MIA,2024-09-01 21:35,2024-09-01 21:51,2024-09-02 01:35,2024-09-02 01:56,21,Maintenance,False,False,Boeing 777,N70528,1776
1695682,American Airlines,3796,DFW,SFO,2024-09-01 11:36,2024-09-01 12:00,2024-09-01 14:36,2024-09-01 15:04,28,Weather,True,False,Boeing 777,N41755,2615
1695683,Southwest,3134,JFK,MIA,2024-09-01 11:55,2024-09-01 12:23,2024-09-01 13:55,2024-09-01 14:22,27,Maintenance,False,False,Boeing 737,N91364,1879
1695684,Southwest,4085,LAX,SFO,2024-09-01 19:19,2024-09-01 19:30,2024-09-01 23:19,2024-09-01 23:24,5,Weather,False,False,Airbus A320,N84304,1521
1695685,Delta,8535,JFK,SFO,2024-09-01 20:26,2024-09-01 20:55,2024-09-01 23:26,2024-09-01 23:41,15,Maintenance,False,False,Airbus A320,N78523,308
1695686,Delta,9009,ORD,SFO,2024-09-01 00:47,2024-09-01 00:56,2024-09-01 04:47,2024-09-01 04:42,-5,,False,True,Boeing 737,N46079,882
1695687,Southwest,5537,JFK,SFO,2024-09-01 16:44,2024-09-01 17:12,2024-09-01 21:44,2024-09-01 21:43,-1,,True,True,Airbus A320,N76051,1900
1695688,Southwest,1865,DFW,MIA,2024-09-01 00:28,2024-09-01 00:55,2024-09-01 03:28,2024-09-01 03:44,16,Maintenance,False,True,Boeing 777,N75943,585
1695689,Delta,2583,DFW,SFO,2024-09-01 00:07,2024-09-01 00:24,2024-09-01 05:07,2024-09-01 05:13,6,Weather,False,False,Boeing 737,N50574,547
1695690,Delta,4148,LAX,JFK,2024-09-01 21:49,2024-09-01 22:19,2024-09-02 00:49,2024-09-02 00:54,5,Weather,True,True,Boeing 777,N95411,567
1695691,American Airlines,5385,LAX,MIA,2024-09-01 17:41,2024-09-01 18:04,2024-09-01 22:41,2024-09-01 23:03,22,Air Traffic Control,False,False,Boeing 737,N74089,1906
1695692,Delta,8214,JFK,JFK,2024-09-01 06:32,2024-09-01 06:39,2024-09-01 07:32,2024-09-01 07:26,-6,,True,False,Boeing 737,N34886,119
1695693,United,0108,ATL,SEA,2024-09-01 09:18,2024-09-01 09:34,2024-09-01 12:18,2024-09-01 12:45,27,Weather,False,False,Boeing 777,N74957,1000
1695694,Delta,5079,DFW,BOS,2024-09-01 16:49,2024-09-01 16:55,2024-09-01 18:49,2024-09-01 18:55,6,Air Traffic Control,True,True,Boeing 737,N26382,434
1695695,United,6985,JFK,SFO,2024-09-01 15:42,2024-09-01 15:42,2024-09-01 21:42,2024-09-01 21:33,-9,,True,True,Boeing 777,N89767,1984
1695696,Delta,1919,LAX,JFK,2024-09-01 11:30,2024-09-01 11:48,2024-09-01 14:30,2024-09-01 14:44,14,Air Traffic Control,True,True,Airbus A320,N28802,1650
1695697,American Airlines,0453,LAX,SFO,2024-09-01 10:51,2024-09-01 10:58,2024-09-01 14:51,2024-09-01 15:02,11,Maintenance,False,True,Boeing 737,N67148,833
1695698,Southwest,8620,JFK,SEA,2024-09-01 14:41,2024-09-01 15:10,2024-09-01 19:41,2024-09-01 19:39,-2,,True,True,Boeing 737,N72547,2060
1695699,Delta,9141,JFK,SEA,2024-09-01 00:01,2024-09-01 00:23,2024-09-01 03:01,2024-09-01 02:59,-2,,False,False,Boeing 737,N92859,608
1695700,American Airlines,0224,ORD,SEA,2024-09-01 05:49,2024-09-01 05:55,2024-09-01 06:49,2024-09-01 07:09,20,Maintenance,True,True,Airbus A320,N30438,1433
1695701,Southwest,3897,ORD,MIA,2024-09-01 11:18,2024-09-01 11:48,2024-09-01 15:18,2024-09-01 15:29,11,Maintenance,False,False,Boeing 777,N16257,1672
1695702,United,5978,LAX,JFK,2024-09-01 22:43,2024-09-01 22:48,2024-09-02 00:43,2024-09-02 00:33,-10,,False,True,Airbus A320,N77257,1214
1695703,Southwest,7839,ATL,BOS,2024-09-01 18:07,2024-09-01 18:12,2024-09-01 20:07,2024-09-01 20:27,20,Weather,False,True,Airbus A320,N57658,1348
1695704,United,7054,LAX,MIA,2024-09-01 12:35,2024-09-01 12:37,2024-09-01 18:35,2024-09-01 19:05,30,Air Traffic Control,True,False,Boeing 737,N26747,2962
1695705,Southwest,1111,LAX,BOS,2024-09-01 02:09,2024-09-01 02:20,2024-09-01 05:09,2024-09-01 05:19,10,Maintenance,True,False,Airbus A320,N63028,2269
1695706,American Airlines,5105,ATL,MIA,2024-09-01 14:36,2024-09-01 15:05,2024-09-01 20:36,2024-09-01 20:57,21,Maintenance,False,False,Boeing 777,N24510,119
1695707,Delta,6270,ATL,BOS,2024-09-01 11:54,2024-09-01 11:57,2024-09-01 12:54,2024-09-01 13:17,23,Weather,True,False,Boeing 777,N34359,359
1695708,United,8625,LAX,SEA,2024-09-01 13:21,2024-09-01 13:37,2024-09-01 14:21,2024-09-01 14:25,4,Weather,False,True,Airbus A320,N10415,930
1695709,United,6374,ORD,JFK,2024-09-01 19:14,2024-09-01 19:36,2024-09-01 20:14,2024-09-01 20:18,4,Maintenance,True,False,Boeing 777,N77651,1889
1695710,United,5566,ORD,SFO,2024-09-01 03:27,2024-09-01 03:50,2024-09-01 08:27,2024-09-01 08:55,28,Air Traffic Control,True,True,Airbus A320,N31856,715
1695711,American Airlines,1772,JFK,SFO,2024-09-01 19:54,2024-09-01 20:06,2024-09-02 00:54,2024-09-02 01:21,27,Weather,False,True,Boeing 777,N27016,553
1695712,Delta,9300,DFW,MIA,2024-09-01 21:45,2024-09-01 22:08,2024-09-02 01:45,2024-09-02 01:56,11,Weather,True,False,Airbus A320,N74724,535
1695713,American Airlines,1604,JFK,MIA,2024-09-01 12:57,2024-09-01 13:18,2024-09-01 17:57,2024-09-01 17:50,-7,,False,True,Boeing 777,N84257,2208
1695714,American Airlines,8424,JFK,SEA,2024-09-01 17:55,2024-09-01 18:17,2024-09-01 18:55,2024-09-01 19:21,26,Air Traffic Control,True,False,Boeing 777,N94524,1435
1695715,Delta,3290,ORD,SEA,2024-09-01 06:06,2024-09-01 06:22,2024-09-01 08:06,2024-09-01 08:26,20,Air Traffic Control,False,True,Boeing 777,N28415,453
1695716,American Airlines,8105,LAX,SFO,2024-09-01 23:30,2024-09-01 23:47,2024-09-02 05:30,2024-09-02 05:43,13,Air Traffic Control,True,False,Airbus A320,N60566,2731
1695717,American Airlines,8365,LAX,MIA,2024-09-01 17:27,2024-09-01 17:42,2024-09-01 19:27,2024-09-01 19:25,-2,,False,True,Boeing 737,N64725,583
1695718,Southwest,0444,LAX,SEA,2024-09-01 21:30,2024-09-01 21:41,2024-09-01 23:30,2024-09-01 23:37,7,Maintenance,True,False,Airbus A320,N61373,1936
1695719,United,8490,LAX,SFO,2024-09-01 13:34,2024-09-01 13:47,2024-09-01 19:34,2024-09-01 19:53,19,Maintenance,True,True,Airbus A320,N93529,2878
1695720,Southwest,1802,DFW,SFO,2024-09-01 03:15,2024-09-01 03:19,2024-09-01 07:15,2024-09-01 07:23,8,Air Traffic Control,True,True,Boeing 777,N63531,576
1695721,American Airlines,0950,ATL,BOS,2024-09-01 09:54,2024-09-01 10:00,2024-09-01 14:54,2024-09-01 14:47,-7,,True,False,Boeing 777,N79947,690
1695722,American Airlines,5369,JFK,MIA,2024-09-01 09:25,2024-09-01 09:35,2024-09-01 10:25,2024-09-01 10:32,7,Weather,False,False,Boeing 737,N90670,537
1695723,Delta,4559,JFK,SFO,2024-09-01 19:30,2024-09-01 19:53,2024-09-01 23:30,2024-09-01 23:46,16,Air Traffic Control,True,True,Boeing 737,N78612,584
1695724,American Airlines,1191,DFW,BOS,2024-09-01 14:48,2024-09-01 14:54,2024-09-01 19:48,2024-09-01 20:10,22,Maintenance,False,True,Airbus A320,N64600,1962
1695725,Delta,6969,JFK,SEA,2024-09-01 04:12,2024-09-01 04:19,2024-09-01 10:12,2024-09-01 10:36,24,Air Traffic Control,False,True,Boeing 777,N20988,1248
1695726,United,8763,DFW,SFO,2024-09-01 01:30,2024-09-01 01:39,2024-09-01 07:30,2024-09-01 07:50,20,Maintenance,True,True,Boeing 777,N23124,450
1695727,Southwest,7805,LAX,SFO,2024-09-01 15:50,2024-09-01 15:55,2024-09-01 16:50,2024-09-01 17:05,15,Maintenance,False,True,Boeing 737,N35661,1712
1695728,American Airlines,7701,JFK,SFO,2024-09-01 06:05,2024-09-01 06:05,2024-09-01 07:05,2024-09-01 07:10,5,Weather,False,False,Airbus A320,N31055,1760
